d,b,r,c,k,m,m_metrics,initial_model_type,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,total_reward,final_model_type,final_g,final_k,decision,terminal_subtype,decision_full
unstructured_text,verification,high-risk,EU_only,start,suboptimal,"[0.127, 0.976, 0.842, 0.951]",M2,"['0.049', '0.126', '0.801', '0.024']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.80|k=start] -> M3[hig0.88|k=start] -> M3[hig0.88|k=start] -> M3[hig0.88|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.028', '0.075', '0.881', '0.015']",start,Reject,M3_c,Reject_M3_c
image,none,false,adequacy,start,insufficient,"[0.015, 0.82, 0.921, 0.737]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[min0.51|k=evidence] -> M1[min0.94|k=evidence] -> M1[min0.25|k=final],6,-50.15,M1,"['0.938', '0.003', '0.054', '0.004']",evidence,Reject,M1_b,Reject_M1_b
multimodal,none,false,adequacy,start,suboptimal,"[0.043, 0.821, 0.894, 0.823]",M2,"['0.168', '0.306', '0.457', '0.068']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M2[hig0.46|k=start] -> M3[hig0.64|k=start] -> M2[hig0.55|k=start] -> M1[min0.35|k=start] -> M1[min0.57|k=evidence] -> M1[min0.70|k=evidence] -> M2[hig0.99|k=proposed] -> M2[min0.25|k=final],7,-23.58,M2,"['0.000', '0.005', '0.994', '0.001']",proposed,Reject,M2_c,Reject_M2_c
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.04, 0.737, 0.95, 0.915]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.97|k=start] -> M3[hig0.98|k=start] -> M3[hig0.98|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-74.0,M2,"['0.004', '0.004', '0.976', '0.016']",start,Reject,M2_c,Reject_M2_c
structured,remote_id,high-risk,non_compliant,start,insufficient,"[0.192, 0.716, 0.954, 0.748]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.003', '0.003', '0.983', '0.011']",start,Reject,M2_b,Reject_M2_b
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.103, 0.848, 0.861, 0.708]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.001', '0.002', '0.993', '0.005']",start,Reject,M2_b,Reject_M2_b
structured,verification,high-risk,adequacy,start,insufficient,"[0.187, 0.976, 0.727, 0.982]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.78|k=start] -> M3[hig0.87|k=start] -> M2[hig0.82|k=start] -> M1[hig0.75|k=start] -> M1[min0.64|k=evidence] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],6,-20.39,M2,"['0.002', '0.000', '0.998', '0.000']",evidence,Reject,M2_c,Reject_M2_c
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.034, 0.932, 0.843, 0.774]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,71.0,M2,"['0.004', '0.004', '0.979', '0.013']",start,Reject,M2_d,Reject_M2_d
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.091, 0.704, 0.958, 0.795]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.77|k=start] -> M2[hig0.77|k=start] -> M2[hig0.77|k=start] -> M2[hig0.77|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,-59.9,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_c,Reject_M3_c
image,remote_id,high-risk,EU_only,start,suboptimal,"[0.141, 0.845, 0.892, 0.815]",M2,"['0.004', '0.009', '0.983', '0.004']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,31.0,M3,"['0.003', '0.005', '0.990', '0.002']",start,Reject,M3_c,Reject_M3_c
