d,b,r,c,k,m,m_metrics,initial_model_type,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,total_reward,final_model_type,final_g,final_k,decision,terminal_subtype,decision_full
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.139, 0.747, 0.872, 0.928]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M1[hig0.82|k=start] -> M1[hig0.82|k=start] -> M1[min0.89|k=evidence] -> M1[min0.25|k=final],5,55.56,M1,"['0.886', '0.006', '0.104', '0.004']",evidence,Accept,M1_a,Accept_M1_a
multimodal,remote_id,high-risk,EU_only,start,suboptimal,"[0.042, 0.949, 0.896, 0.916]",M2,"['0.002', '0.003', '0.993', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.99|k=start] -> M1[hig0.84|k=start] -> M1[hig0.84|k=start] -> M1[hig0.84|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-34.9,M2,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M2_c,Reject_M2_c
multimodal,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.043, 0.762, 0.726, 0.861]",M3,"['0.001', '0.001', '0.995', '0.003']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M1[hig0.84|k=start] -> M1[hig0.84|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-19.86,M2,"['0.000', '0.008', '0.991', '0.002']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.162, 0.728, 0.724, 0.888]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[hig0.98|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.003', '0.003', '0.983', '0.011']",start,Reject,M2_c,Reject_M2_c
image,categorisation,false,EU_only,start,insufficient,"[0.175, 0.793, 0.812, 0.813]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M4[ban0.99|k=start] -> M2[ban0.51|k=start] -> M2[ban0.51|k=start] -> M2[ban0.51|k=start] -> M4[ban0.83|k=evidence] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],6,-36.11,M2,"['0.000', '0.006', '0.994', '0.001']",evidence,Reject,M2_b,Reject_M2_b
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.094, 0.791, 0.895, 0.782]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_mitig -> a_mitig -> a_mitig -> a_accept,M2[hig0.90|k=start] -> M2[hig0.90|k=start] -> M2[hig0.90|k=start] -> M2[hig0.90|k=start] -> M2[min0.25|k=final],4,-69.0,M2,"['0.017', '0.039', '0.904', '0.041']",start,Accept,M2_a,Accept_M2_a
video,verification,high-risk,EU_only,start,suboptimal,"[0.081, 0.85, 0.921, 0.925]",M2,"['0.017', '0.059', '0.916', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.92|k=start] -> M3[hig0.95|k=start] -> M3[hig0.95|k=start] -> M3[hig0.95|k=start] -> M3[min0.25|k=final],4,31.0,M3,"['0.010', '0.034', '0.950', '0.006']",start,Reject,M3_d,Reject_M3_d
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.037, 0.729, 0.834, 0.836]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.62|k=evidence] -> M1[min0.90|k=evidence] -> M1[min0.25|k=final],6,69.99,M1,"['0.903', '0.055', '0.041', '0.001']",evidence,Accept,M1_a,Accept_M1_a
video,none,false,adequacy,start,insufficient,"[0.181, 0.866, 0.928, 0.867]",M2,"['0.148', '0.181', '0.402', '0.269']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M2[hig0.40|k=start] -> M1[min0.35|k=start] -> M1[min0.35|k=start] -> M1[min0.35|k=start] -> M1[min0.68|k=evidence] -> M1[min0.98|k=evidence] -> M1[min0.25|k=final],6,54.56,M1,"['0.977', '0.001', '0.017', '0.004']",evidence,Accept,M1_b,Accept_M1_b
unstructured_text,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.08, 0.898, 0.908, 0.99]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-44.0,M3,"['0.002', '0.004', '0.992', '0.002']",start,Reject,M3_d,Reject_M3_d
image,remote_id,high-risk,adequacy,start,insufficient,"[0.072, 0.81, 0.849, 0.724]",M2,"['0.004', '0.007', '0.976', '0.013']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.003', '0.005', '0.981', '0.011']",start,Reject,M2_d,Reject_M2_d
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.025, 0.739, 0.936, 0.906]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,-44.9,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_d,Reject_M3_d
image,none,false,EU_only,start,insufficient,"[0.157, 0.8, 0.863, 0.986]",M1,"['0.215', '0.237', '0.194', '0.354']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.35|k=start] -> M1[ban0.35|k=start] -> M1[ban0.35|k=start] -> M1[ban0.35|k=start] -> M1[ban0.36|k=evidence] -> M1[min0.91|k=evidence] -> M1[min0.25|k=final],6,-50.06,M1,"['0.915', '0.055', '0.002', '0.028']",evidence,Reject,M1_b,Reject_M1_b
structured,none,false,adequacy,start,insufficient,"[0.192, 0.814, 0.723, 0.756]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.46|k=evidence] -> M1[min0.52|k=evidence] -> M1[min0.99|k=proposed] -> M1[min0.25|k=final],7,-53.36,M1,"['0.990', '0.003', '0.006', '0.002']",proposed,Reject,M1_b,Reject_M1_b
image,remote_id,high-risk,EU_only,start,insufficient,"[0.1, 0.715, 0.939, 0.941]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[hig0.44|k=evidence] -> M1[min0.95|k=evidence] -> M1[min0.25|k=final],6,54.78,M1,"['0.955', '0.000', '0.041', '0.003']",evidence,Accept,M1_a,Accept_M1_a
unstructured_text,remote_id,high-risk,adequacy,start,suboptimal,"[0.027, 0.808, 0.893, 0.913]",M2,"['0.005', '0.009', '0.983', '0.004']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-34.87,M2,"['0.001', '0.006', '0.992', '0.001']",evidence,Reject,M2_c,Reject_M2_c
multimodal,categorisation,false,EU_only,start,insufficient,"[0.137, 0.791, 0.746, 0.875]",M4,"['0.004', '0.003', '0.013', '0.980']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M1[ban0.30|k=start] -> M1[ban0.30|k=start] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],5,-19.88,M2,"['0.000', '0.004', '0.996', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.105, 0.8, 0.758, 0.943]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_accept,M2[hig0.97|k=start] -> M1[hig0.82|k=start] -> M1[hig0.82|k=start] -> M1[hig0.82|k=start] -> M1[min0.86|k=evidence] -> M1[min0.25|k=final],5,55.68,M1,"['0.856', '0.022', '0.037', '0.085']",evidence,Accept,M1_a,Accept_M1_a
multimodal,remote_id,high-risk,EU_only,start,insufficient,"[0.015, 0.985, 0.794, 0.988]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M2[hig0.99|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M1[hig0.82|k=evidence] -> M2[hig0.77|k=evidence] -> M3[hig1.00|k=proposed] -> M3[min0.25|k=final],7,50.44,M3,"['0.000', '0.000', '1.000', '0.000']",proposed,Reject,M3_c,Reject_M3_c
multimodal,none,false,inadequate_SCC,start,insufficient,"[0.124, 0.895, 0.916, 0.7]",M3,"['0.095', '0.141', '0.573', '0.191']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.57|k=start] -> M2[hig0.49|k=start] -> M3[hig0.63|k=start] -> M2[hig0.51|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,60.1,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_d,Reject_M3_d
multimodal,none,false,EU_only,start,insufficient,"[0.073, 0.989, 0.784, 0.973]",M2,"['0.168', '0.152', '0.374', '0.306']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_accept,M2[hig0.37|k=start] -> M1[min0.36|k=start] -> M1[min0.36|k=start] -> M1[min0.36|k=start] -> M1[min0.79|k=evidence] -> M1[min0.98|k=evidence] -> M1[min0.25|k=final],6,-75.87,M1,"['0.977', '0.022', '0.001', '0.000']",evidence,Accept,M1_a,Accept_M1_a
unstructured_text,verification,high-risk,non_compliant,start,suboptimal,"[0.148, 0.841, 0.838, 0.842]",M3,"['0.008', '0.025', '0.961', '0.006']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M3[hig0.96|k=start] -> M2[hig0.88|k=start] -> M2[hig0.88|k=start] -> M1[hig0.78|k=start] -> M1[lim0.46|k=evidence] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],6,-20.38,M2,"['0.000', '0.004', '0.996', '0.000']",evidence,Reject,M2_c,Reject_M2_c
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.098, 0.717, 0.742, 0.985]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M3[hig1.00|k=start] -> M3[min0.25|k=final],4,-84.0,M3,"['0.001', '0.001', '0.996', '0.003']",start,Reject,M3_d,Reject_M3_d
unstructured_text,verification,high-risk,adequacy,start,insufficient,"[0.162, 0.839, 0.719, 0.935]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M2[hig0.78|k=start] -> M1[hig0.73|k=start] -> M1[hig0.73|k=start] -> M1[hig0.73|k=start] -> M1[hig0.78|k=evidence] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],6,-35.91,M2,"['0.000', '0.002', '0.998', '0.000']",evidence,Reject,M2_c,Reject_M2_c
image,verification,high-risk,adequacy,start,insufficient,"[0.078, 0.838, 0.979, 0.758]",M2,"['0.029', '0.113', '0.793', '0.065']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2[hig0.79|k=start] -> M2[hig0.79|k=start] -> M1[hig0.74|k=start] -> M1[hig0.74|k=start] -> M1[hig0.65|k=evidence] -> M2[hig0.74|k=evidence] -> M2[hig0.60|k=proposed] -> M2[hig0.75|k=proposed] -> M2[hig0.53|k=proposed] -> M2[min0.25|k=final],9,-49.73,M2,"['0.001', '0.469', '0.530', '0.000']",proposed,Reject,M2_d,Reject_M2_d
unstructured_text,none,false,non_compliant,start,insufficient,"[0.147, 0.887, 0.952, 0.773]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.52|k=start] -> M2[hig0.35|k=start] -> M1[min0.36|k=start] -> M1[min0.36|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-19.87,M2,"['0.000', '0.008', '0.992', '0.001']",evidence,Reject,M2_b,Reject_M2_b
multimodal,categorisation,false,inadequate_SCC,start,insufficient,"[0.023, 0.711, 0.876, 0.945]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M4[ban0.96|k=start] -> M2[ban0.49|k=start] -> M1[ban0.29|k=start] -> M1[ban0.29|k=start] -> M1[ban0.76|k=evidence] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],6,-60.81,M2,"['0.002', '0.002', '0.996', '0.000']",evidence,Reject,M2_c,Reject_M2_c
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.155, 0.876, 0.873, 0.871]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.77|k=start] -> M2[hig0.77|k=start] -> M3[hig0.86|k=start] -> M2[hig0.82|k=start] -> M4[ban1.00|k=evidence] -> M4[min0.25|k=final],5,45.11,M4,"['0.000', '0.001', '0.002', '0.996']",evidence,Reject,M4_d,Reject_M4_d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.085, 0.805, 0.712, 0.921]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[hig0.98|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.004', '0.004', '0.979', '0.013']",start,Reject,M2_b,Reject_M2_b
structured,verification,high-risk,inadequate_SCC,start,insufficient,"[0.192, 0.945, 0.745, 0.811]",M3,"['0.020', '0.056', '0.876', '0.048']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.88|k=start] -> M3[hig0.88|k=start] -> M2[hig0.83|k=start] -> M2[hig0.83|k=start] -> M4[ban1.00|k=evidence] -> M4[min0.25|k=final],5,45.11,M4,"['0.001', '0.000', '0.002', '0.997']",evidence,Reject,M4_d,Reject_M4_d
image,remote_id,high-risk,EU_only,start,insufficient,"[0.177, 0.903, 0.854, 0.921]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M3[hig0.98|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.003', '0.004', '0.984', '0.010']",start,Reject,M3_d,Reject_M3_d
structured,categorisation,false,inadequate_SCC,start,insufficient,"[0.021, 0.856, 0.873, 0.7]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.51|k=start] -> M2[ban0.51|k=start] -> M3[hig0.67|k=start] -> M4[ban0.89|k=evidence] -> M4[min0.25|k=final],5,45.53,M4,"['0.000', '0.000', '0.108', '0.892']",evidence,Reject,M4_d,Reject_M4_d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.026, 0.784, 0.943, 0.819]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.97|k=start] -> M1[hig0.82|k=start] -> M1[hig0.82|k=start] -> M1[hig0.82|k=start] -> M2[hig0.98|k=evidence] -> M2[min0.25|k=final],5,-34.83,M2,"['0.003', '0.013', '0.983', '0.000']",evidence,Reject,M2_c,Reject_M2_c
video,none,false,adequacy,start,insufficient,"[0.082, 0.85, 0.761, 0.91]",M2,"['0.148', '0.181', '0.402', '0.269']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M2[hig0.40|k=start] -> M2[hig0.40|k=start] -> M1[min0.35|k=start] -> M1[min0.35|k=start] -> M2[hig0.93|k=evidence] -> M2[min0.25|k=final],5,-74.62,M2,"['0.034', '0.029', '0.931', '0.006']",evidence,Reject,M2_d,Reject_M2_d
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.181, 0.831, 0.784, 0.735]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.95|k=start] -> M2[hig0.87|k=start] -> M1[hig0.77|k=start] -> M1[hig0.77|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-19.85,M2,"['0.003', '0.002', '0.986', '0.009']",evidence,Reject,M2_c,Reject_M2_c
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.027, 0.767, 0.706, 0.71]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,31.0,M3,"['0.001', '0.001', '0.995', '0.004']",start,Reject,M3_c,Reject_M3_c
image,none,false,adequacy,start,insufficient,"[0.031, 0.761, 0.701, 0.713]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[ban0.31|k=start] -> M1[lim0.90|k=evidence] -> M1[min0.25|k=final],5,-49.49,M1,"['0.005', '0.898', '0.006', '0.091']",evidence,Reject,M1_b,Reject_M1_b
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.105, 0.884, 0.825, 0.764]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.50|k=start] -> M1[ban0.30|k=start] -> M1[ban0.30|k=start] -> M2[hig0.88|k=evidence] -> M2[min0.25|k=final],5,-19.4,M2,"['0.001', '0.114', '0.875', '0.009']",evidence,Reject,M2_b,Reject_M2_b
structured,categorisation,false,non_compliant,start,insufficient,"[0.052, 0.832, 0.855, 0.792]",M4,"['0.002', '0.002', '0.020', '0.976']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.98|k=start] -> M2[ban0.51|k=start] -> M1[ban0.30|k=start] -> M1[ban0.30|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-59.84,M2,"['0.000', '0.013', '0.985', '0.001']",evidence,Reject,M2_c,Reject_M2_c
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.099, 0.703, 0.915, 0.742]",M3,"['0.001', '0.001', '0.993', '0.005']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M1[hig0.83|k=start] -> M1[hig0.83|k=start] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],5,-59.88,M2,"['0.001', '0.004', '0.994', '0.000']",evidence,Reject,M2_b,Reject_M2_b
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.086, 0.734, 0.71, 0.775]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M2[hig0.99|k=start] -> M3[hig1.00|k=start] -> M3[min0.25|k=final],4,46.0,M3,"['0.001', '0.001', '0.996', '0.003']",start,Reject,M3_d,Reject_M3_d
multimodal,categorisation,false,non_compliant,start,suboptimal,"[0.061, 0.826, 0.883, 0.913]",M4,"['0.008', '0.013', '0.210', '0.770']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M4[ban0.77|k=start] -> M2[hig0.55|k=start] -> M1[hig0.33|k=start] -> M1[hig0.33|k=start] -> M1[min0.80|k=evidence] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],6,-21.0,M2,"['0.000', '0.001', '0.997', '0.002']",evidence,Reject,M2_c,Reject_M2_c
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.02, 0.943, 0.745, 0.838]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.99|k=start] -> M2[hig0.98|k=start] -> M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,46.0,M3,"['0.002', '0.003', '0.988', '0.007']",start,Reject,M3_d,Reject_M3_d
structured,remote_id,high-risk,adequacy,start,insufficient,"[0.19, 0.945, 0.98, 0.954]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.97|k=start] -> M2[hig0.97|k=start] -> M3[hig0.98|k=start] -> M3[hig0.98|k=start] -> M3[min0.25|k=final],4,31.0,M3,"['0.003', '0.003', '0.983', '0.011']",start,Reject,M3_c,Reject_M3_c
unstructured_text,none,false,EU_only,start,insufficient,"[0.162, 0.91, 0.807, 0.77]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[min0.59|k=evidence] -> M2[hig1.00|k=evidence] -> M2[min0.25|k=final],6,-50.4,M2,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M2_b,Reject_M2_b
unstructured_text,remote_id,high-risk,non_compliant,start,suboptimal,"[0.12, 0.961, 0.849, 0.907]",M3,"['0.001', '0.001', '0.997', '0.001']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M3[hig1.00|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.001', '0.001', '0.997', '0.001']",start,Reject,M3_d,Reject_M3_d
image,verification,high-risk,non_compliant,start,insufficient,"[0.083, 0.91, 0.851, 0.759]",M3,"['0.006', '0.020', '0.953', '0.021']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M3[hig0.95|k=start] -> M2[hig0.87|k=start] -> M3[hig0.91|k=start] -> M2[hig0.85|k=start] -> M2[min0.25|k=final],4,-19.0,M2,"['0.020', '0.078', '0.853', '0.049']",start,Reject,M2_b,Reject_M2_b
structured,none,false,adequacy,start,insufficient,"[0.111, 0.717, 0.766, 0.757]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_reject,M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[ban0.38|k=start] -> M1[min0.46|k=evidence] -> M2[hig0.99|k=evidence] -> M2[min0.25|k=final],6,-50.36,M2,"['0.000', '0.009', '0.991', '0.001']",evidence,Reject,M2_d,Reject_M2_d
unstructured_text,none,false,EU_only,start,insufficient,"[0.189, 0.9, 0.8, 0.785]",M1,"['0.251', '0.168', '0.168', '0.413']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[ban0.41|k=start] -> M1[min0.88|k=evidence] -> M1[min0.25|k=final],5,-49.41,M1,"['0.877', '0.051', '0.057', '0.014']",evidence,Reject,M1_b,Reject_M1_b
image,categorisation,false,non_compliant,start,insufficient,"[0.161, 0.927, 0.826, 0.829]",M4,"['0.002', '0.003', '0.026', '0.968']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_reject,M4[ban0.97|k=start] -> M2[ban0.50|k=start] -> M2[ban0.50|k=start] -> M2[ban0.50|k=start] -> M3[hig1.00|k=evidence] -> M3[min0.25|k=final],5,-84.9,M3,"['0.000', '0.000', '1.000', '0.000']",evidence,Reject,M3_d,Reject_M3_d
video,remote_id,high-risk,EU_only,start,insufficient,"[0.013, 0.938, 0.913, 0.789]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.001', '0.001', '0.993', '0.005']",start,Reject,M3_d,Reject_M3_d
video,verification,high-risk,adequacy,start,insufficient,"[0.144, 0.951, 0.745, 0.808]",M2,"['0.014', '0.043', '0.910', '0.034']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.91|k=start] -> M3[hig0.95|k=start] -> M3[hig0.95|k=start] -> M3[hig0.95|k=start] -> M3[min0.25|k=final],4,-99.0,M3,"['0.008', '0.025', '0.945', '0.022']",start,Reject,M3_b,Reject_M3_b
unstructured_text,remote_id,high-risk,adequacy,start,suboptimal,"[0.045, 0.863, 0.955, 0.842]",M2,"['0.005', '0.009', '0.983', '0.004']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.98|k=start] -> M3[hig0.99|k=start] -> M3[hig0.99|k=start] -> M2[hig0.99|k=start] -> M2[min0.25|k=final],4,-34.0,M2,"['0.004', '0.007', '0.986', '0.003']",start,Reject,M2_b,Reject_M2_b
image,verification,high-risk,adequacy,start,insufficient,"[0.118, 0.905, 0.77, 0.878]",M2,"['0.029', '0.113', '0.793', '0.065']",start,a_mitig -> a_mitig -> a_mitig -> a_reject,M2[hig0.79|k=start] -> M3[hig0.87|k=start] -> M3[hig0.87|k=start] -> M3[hig0.87|k=start] -> M3[min0.25|k=final],4,31.0,M3,"['0.018', '0.067', '0.873', '0.043']",start,Reject,M3_c,Reject_M3_c
unstructured_text,verification,high-risk,inadequate_SCC,start,insufficient,"[0.189, 0.963, 0.774, 0.928]",M3,"['0.020', '0.056', '0.876', '0.048']",start,a_mitig -> a_mitig -> a_mitig -> a_eval -> a_eval -> a_eval -> a_accept,M3[hig0.88|k=start] -> M2[hig0.83|k=start] -> M2[hig0.83|k=start] -> M1[hig0.75|k=start] -> M1[min0.42|k=evidence] -> M1[min0.81|k=evidence] -> M1[min0.97|k=proposed] -> M1[min0.25|k=final],7,-63.88,M1,"['0.965', '0.031', '0.003', '0.002']",proposed,Accept,M1_a,Accept_M1_a
