current_state,current_model,action,next_state,next_model,count,total_from_state_action,transition_probability
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_accept,Accept_M2_b,Accept_M2_b,587,1062,0.5527
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=evidence,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_a,Reject_M2_a,566,27757,0.0204
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_reject,Reject_M1_b,Reject_M1_b,553,883,0.6263
"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=proposed,m=suboptimal,mt=M3",M3,a_reject,Reject_M3_c,Reject_M3_c,553,1270,0.4354
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",M2,525,7517,0.0698
"d=structured,b=none,r=false,c=EU_only,k=evidence,m=optimal,mt=M1",M1,a_eval,"d=structured,b=none,r=false,c=EU_only,k=proposed,m=optimal,mt=M1",M1,517,7517,0.0688
"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",M1,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",M2,504,969,0.5201
"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",M1,a_eval,"d=structured,b=none,r=high-risk,c=EU_only,k=proposed,m=optimal,mt=M1",M1,465,969,0.4799
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,a_eval,"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,464,1931,0.2403
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,a_eval,"d=multimodal,b=remote_id,r=high-risk,c=non_compliant,k=evidence,m=suboptimal,mt=M3",M3,457,1931,0.2367
"d=multimodal,b=categorisation,r=high-risk,c=adequacy,k=evidence,m=insufficient,mt=M4",M4,a_reject,Reject_M4_c,Reject_M4_c,446,3750,0.1189
"d=multimodal,b=remote_id,r=high-risk,c=adequacy,k=proposed,m=suboptimal,mt=M2",M2,a_reject,Reject_M2_d,Reject_M2_d,437,3317,0.1317
