d,b,r,c,k,m,m_metrics,initial_identified_model,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,final_state,final_g,final_k,total_reward,decision,terminal_subtype
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.16, 0.766, 0.816, 0.823]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
multimodal,none,false,inadequate_SCC,start,insufficient,"[0.166, 0.812, 0.812, 0.873]",M3,"['0.095', '0.141', '0.573', '0.191']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,EU_only,start,insufficient,"[0.023, 0.876, 0.808, 0.749]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.177, 0.87, 0.868, 0.815]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
unstructured_text,none,false,non_compliant,start,suboptimal,"[0.039, 0.833, 0.902, 0.862]",M3,"['0.129', '0.157', '0.637', '0.078']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_c,5,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,c
multimodal,verification,high-risk,adequacy,start,suboptimal,"[0.123, 0.966, 0.857, 0.916]",M2,"['0.014', '0.065', '0.914', '0.008']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
unstructured_text,none,false,non_compliant,start,insufficient,"[0.038, 0.871, 0.907, 0.733]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,verification,high-risk,EU_only,start,suboptimal,"[0.087, 0.946, 0.883, 0.824]",M2,"['0.049', '0.126', '0.801', '0.024']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,verification,high-risk,non_compliant,start,insufficient,"[0.188, 0.743, 0.865, 0.922]",M3,"['0.006', '0.020', '0.953', '0.021']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,categorisation,false,inadequate_SCC,start,insufficient,"[0.097, 0.729, 0.733, 0.833]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.111, 0.939, 0.761, 0.871]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.153, 0.702, 0.905, 0.989]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,none,false,adequacy,start,insufficient,"[0.047, 0.828, 0.872, 0.712]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
structured,none,false,non_compliant,start,insufficient,"[0.182, 0.796, 0.9, 0.807]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
image,none,false,inadequate_SCC,start,insufficient,"[0.151, 0.931, 0.853, 0.771]",M3,"['0.141', '0.256', '0.346', '0.256']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.094, 0.776, 0.704, 0.973]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.028, 0.916, 0.765, 0.701]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> M2 -> M3 -> M4 -> Reject_M4_c,6,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,c
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.052, 0.761, 0.729, 0.825]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
structured,none,false,non_compliant,start,insufficient,"[0.171, 0.701, 0.783, 0.906]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
video,remote_id,high-risk,EU_only,start,insufficient,"[0.196, 0.965, 0.914, 0.893]",M2,"['0.002', '0.002', '0.989', '0.007']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.178, 0.911, 0.973, 0.978]",M2,"['0.001', '0.002', '0.990', '0.006']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.065, 0.71, 0.847, 0.873]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.104, 0.979, 0.702, 0.92]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
image,categorisation,false,EU_only,start,insufficient,"[0.043, 0.979, 0.871, 0.75]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,categorisation,false,inadequate_SCC,start,insufficient,"[0.174, 0.913, 0.905, 0.739]",M4,"['0.004', '0.004', '0.011', '0.981']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
video,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.097, 0.99, 0.85, 0.826]",M3,"['0.001', '0.002', '0.997', '0.001']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_c,7,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,c
image,remote_id,high-risk,adequacy,start,insufficient,"[0.121, 0.78, 0.872, 0.724]",M2,"['0.004', '0.007', '0.976', '0.013']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,none,false,inadequate_SCC,start,suboptimal,"[0.082, 0.938, 0.862, 0.909]",M3,"['0.205', '0.338', '0.374', '0.083']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
structured,verification,high-risk,inadequate_SCC,start,insufficient,"[0.18, 0.832, 0.768, 0.724]",M3,"['0.020', '0.056', '0.876', '0.048']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.078, 0.887, 0.706, 0.951]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M2 -> M2 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_c,9,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,c
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.011, 0.792, 0.83, 0.752]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,categorisation,false,non_compliant,start,insufficient,"[0.026, 0.882, 0.816, 0.732]",M4,"['0.002', '0.003', '0.026', '0.968']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.083, 0.723, 0.703, 0.798]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,categorisation,false,inadequate_SCC,start,insufficient,"[0.016, 0.987, 0.751, 0.819]",M4,"['0.003', '0.005', '0.032', '0.960']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
video,remote_id,high-risk,adequacy,start,insufficient,"[0.121, 0.748, 0.765, 0.922]",M2,"['0.001', '0.002', '0.990', '0.006']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.139, 0.979, 0.822, 0.816]",M3,"['0.002', '0.005', '0.991', '0.002']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
unstructured_text,verification,high-risk,non_compliant,start,insufficient,"[0.05, 0.821, 0.888, 0.785]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
multimodal,verification,high-risk,EU_only,start,insufficient,"[0.11, 0.723, 0.801, 0.896]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
unstructured_text,verification,high-risk,inadequate_SCC,start,suboptimal,"[0.127, 0.942, 0.883, 0.804]",M3,"['0.020', '0.084', '0.885', '0.011']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
video,none,false,adequacy,start,insufficient,"[0.086, 0.882, 0.742, 0.916]",M2,"['0.148', '0.181', '0.402', '0.269']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M4 -> M3 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-96,Reject,d
structured,verification,high-risk,adequacy,start,insufficient,"[0.105, 0.789, 0.889, 0.955]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.06, 0.709, 0.891, 0.922]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M2 -> M2 -> M3 -> M3 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,d
structured,verification,high-risk,non_compliant,start,insufficient,"[0.09, 0.796, 0.755, 0.928]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_eval -> a_reject,M3 -> M2 -> M4 -> Reject_M4_b,3,Reject_M4_b,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,b
unstructured_text,verification,high-risk,EU_only,start,insufficient,"[0.173, 0.9, 0.723, 0.832]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,none,false,non_compliant,start,insufficient,"[0.148, 0.715, 0.834, 0.799]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,none,false,adequacy,start,insufficient,"[0.197, 0.766, 0.833, 0.811]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_eval -> a_eval -> a_reject,M1 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.042, 0.823, 0.739, 0.785]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
video,verification,high-risk,non_compliant,start,insufficient,"[0.124, 0.774, 0.888, 0.953]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
unstructured_text,none,false,non_compliant,start,insufficient,"[0.071, 0.867, 0.785, 0.977]",M3,"['0.105', '0.086', '0.522', '0.286']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
video,verification,high-risk,non_compliant,start,insufficient,"[0.043, 0.798, 0.816, 0.969]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
multimodal,verification,high-risk,non_compliant,start,insufficient,"[0.198, 0.851, 0.785, 0.721]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M2 -> M3 -> M2 -> M3 -> M2 -> M3 -> M4 -> Reject_M4_d,10,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,32,Reject,d
multimodal,verification,high-risk,non_compliant,start,insufficient,"[0.11, 0.846, 0.753, 0.793]",M3,"['0.002', '0.007', '0.981', '0.010']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,categorisation,false,inadequate_SCC,start,insufficient,"[0.103, 0.766, 0.891, 0.725]",M4,"['0.004', '0.007', '0.015', '0.975']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,d
unstructured_text,none,false,adequacy,start,insufficient,"[0.142, 0.795, 0.788, 0.709]",M1,"['0.229', '0.207', '0.187', '0.377']",start,a_eval -> a_eval -> a_reject,M1 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
structured,categorisation,false,adequacy,start,insufficient,"[0.112, 0.778, 0.827, 0.791]",M4,"['0.004', '0.004', '0.005', '0.987']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
image,remote_id,high-risk,non_compliant,start,suboptimal,"[0.145, 0.985, 0.863, 0.837]",M3,"['0.001', '0.002', '0.997', '0.001']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,remote_id,high-risk,EU_only,start,insufficient,"[0.053, 0.73, 0.933, 0.706]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_eval -> a_mitig -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M4 -> M2 -> M4 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,39,Reject,d
multimodal,none,false,adequacy,start,suboptimal,"[0.118, 0.96, 0.935, 0.865]",M2,"['0.168', '0.306', '0.457', '0.068']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M3 -> M2 -> M3 -> M3 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.175, 0.8, 0.764, 0.975]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
structured,remote_id,high-risk,EU_only,start,insufficient,"[0.032, 0.774, 0.942, 0.749]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M3 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.046, 0.741, 0.805, 0.889]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_c,3,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,c
image,categorisation,false,adequacy,start,insufficient,"[0.173, 0.716, 0.706, 0.918]",M4,"['0.004', '0.006', '0.007', '0.983']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
image,none,false,adequacy,start,insufficient,"[0.106, 0.748, 0.78, 0.828]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M1 -> M1 -> M1 -> M2 -> M4 -> Reject_M4_c,5,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,c
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.075, 0.851, 0.801, 0.785]",M3,"['0.001', '0.001', '0.995', '0.004']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_c,2,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,c
structured,remote_id,high-risk,adequacy,start,insufficient,"[0.097, 0.86, 0.747, 0.769]",M2,"['0.005', '0.006', '0.972', '0.018']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,7,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,38,Reject,d
unstructured_text,remote_id,high-risk,EU_only,start,insufficient,"[0.178, 0.943, 0.941, 0.828]",M2,"['0.006', '0.005', '0.967', '0.022']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.018, 0.823, 0.941, 0.701]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M2 -> M2 -> M4 -> Reject_M4_d,6,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,40,Reject,d
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.139, 0.856, 0.747, 0.83]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
multimodal,none,false,inadequate_SCC,start,insufficient,"[0.18, 0.712, 0.944, 0.877]",M3,"['0.095', '0.141', '0.573', '0.191']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M2 -> M4 -> Reject_M4_d,5,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,42,Reject,d
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.152, 0.711, 0.943, 0.73]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.17, 0.948, 0.713, 0.949]",M3,"['0.002', '0.004', '0.988', '0.007']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-82,Reject,d
unstructured_text,none,false,inadequate_SCC,start,insufficient,"[0.097, 0.913, 0.931, 0.709]",M3,"['0.174', '0.192', '0.317', '0.317']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M2 -> M3 -> M3 -> M2 -> M3 -> M2 -> M4 -> Reject_M4_d,9,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,34,Reject,d
image,verification,high-risk,non_compliant,start,insufficient,"[0.128, 0.706, 0.972, 0.937]",M3,"['0.006', '0.020', '0.953', '0.021']",start,a_eval -> a_eval -> a_reject,M3 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.195, 0.928, 0.88, 0.758]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,none,false,adequacy,start,insufficient,"[0.162, 0.8, 0.758, 0.939]",M1,"['0.191', '0.284', '0.211', '0.314']",start,a_eval -> a_eval -> a_eval -> a_reject,M1 -> M2 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
multimodal,categorisation,false,EU_only,start,insufficient,"[0.153, 0.708, 0.751, 0.97]",M4,"['0.004', '0.003', '0.013', '0.980']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
unstructured_text,remote_id,high-risk,adequacy,start,suboptimal,"[0.127, 0.938, 0.849, 0.815]",M2,"['0.005', '0.009', '0.983', '0.004']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,verification,high-risk,EU_only,start,insufficient,"[0.116, 0.847, 0.86, 0.781]",M2,"['0.035', '0.101', '0.785', '0.079']",start,a_eval -> a_eval -> a_reject,M2 -> M3 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,46,Reject,d
