d,b,r,c,k,m,m_metrics,initial_identified_model,initial_g,initial_k,actions_sequence,state_trajectory,total_steps,final_state,final_g,final_k,total_reward,decision,terminal_subtype
multimodal,none,false,inadequate_SCC,start,insufficient,"[0.04, 0.77, 0.807, 0.876]",M3,"['0.095', '0.141', '0.573', '0.191']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M3 -> M3 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_b,7,Reject_M4_b,"['0.250', '0.250', '0.250', '0.250']",final,-92,Reject,b
structured,verification,high-risk,adequacy,start,insufficient,"[0.165, 0.852, 0.931, 0.875]",M2,"['0.039', '0.091', '0.783', '0.087']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-84,Reject,d
multimodal,categorisation,false,non_compliant,start,insufficient,"[0.021, 0.73, 0.767, 0.822]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,categorisation,false,adequacy,start,suboptimal,"[0.08, 0.928, 0.842, 0.825]",M4,"['0.017', '0.023', '0.023', '0.937']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
video,none,false,non_compliant,start,insufficient,"[0.139, 0.759, 0.974, 0.736]",M3,"['0.046', '0.051', '0.763', '0.139']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M3 -> M2 -> M2 -> M3 -> M3 -> M2 -> M2 -> M2 -> M3 -> M4 -> Reject_M4_d,10,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,32,Reject,d
structured,verification,high-risk,non_compliant,start,insufficient,"[0.177, 0.74, 0.729, 0.806]",M3,"['0.008', '0.017', '0.947', '0.029']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
image,categorisation,false,EU_only,start,insufficient,"[0.15, 0.95, 0.946, 0.802]",M4,"['0.004', '0.004', '0.006', '0.986']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
image,remote_id,high-risk,EU_only,start,insufficient,"[0.123, 0.707, 0.896, 0.727]",M2,"['0.004', '0.006', '0.973', '0.016']",start,a_eval -> a_eval -> a_reject,M2 -> M2 -> M4 -> Reject_M4_d,3,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-84,Reject,d
unstructured_text,categorisation,false,EU_only,start,insufficient,"[0.196, 0.864, 0.813, 0.74]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,-80,Reject,d
unstructured_text,categorisation,false,adequacy,start,insufficient,"[0.172, 0.96, 0.754, 0.716]",M4,"['0.004', '0.004', '0.005', '0.987']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,adequacy,start,suboptimal,"[0.14, 0.885, 0.851, 0.903]",M2,"['0.005', '0.009', '0.983', '0.004']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M4 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
video,verification,high-risk,EU_only,start,insufficient,"[0.156, 0.806, 0.739, 0.972]",M2,"['0.017', '0.039', '0.904', '0.041']",start,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M2 -> M2 -> M2 -> M3 -> M3 -> M3 -> M3 -> M4 -> Reject_M4_d,10,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,32,Reject,d
image,remote_id,high-risk,adequacy,start,insufficient,"[0.161, 0.71, 0.875, 0.865]",M2,"['0.004', '0.007', '0.976', '0.013']",start,a_eval -> a_eval -> a_eval -> a_reject,M2 -> M3 -> M3 -> M4 -> Reject_M4_c,4,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,c
multimodal,remote_id,high-risk,non_compliant,start,insufficient,"[0.054, 0.731, 0.711, 0.809]",M3,"['0.000', '0.000', '0.998', '0.002']",start,a_eval -> a_reject,M3 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
multimodal,categorisation,false,non_compliant,start,insufficient,"[0.115, 0.749, 0.778, 0.776]",M4,"['0.002', '0.002', '0.057', '0.938']",start,a_reject,M4 -> Reject_M4_d,1,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,d
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.196, 0.818, 0.939, 0.886]",M3,"['0.002', '0.003', '0.986', '0.009']",start,a_eval -> a_eval -> a_eval -> a_reject,M3 -> M4 -> M3 -> M4 -> Reject_M4_d,4,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,44,Reject,d
structured,categorisation,false,EU_only,start,insufficient,"[0.072, 0.799, 0.722, 0.85]",M4,"['0.004', '0.003', '0.004', '0.989']",start,a_reject,M4 -> Reject_M4_c,1,Reject_M4_c,"['0.250', '0.250', '0.250', '0.250']",final,50,Reject,c
structured,verification,high-risk,EU_only,start,insufficient,"[0.187, 0.859, 0.987, 0.708]",M2,"['0.047', '0.081', '0.768', '0.104']",start,a_eval -> a_reject,M2 -> M4 -> Reject_M4_d,2,Reject_M4_d,"['0.250', '0.250', '0.250', '0.250']",final,48,Reject,d
