d,b,r,c,k,m,m_metrics,initial_identified_model,actions_sequence,total_steps,final_state,total_reward
multimodal,verification,high-risk,inadequate_SCC,start,insufficient,"[0.115, 0.879, 0.709, 0.953]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_accept,5,Reject,58.0
image,remote_id,high-risk,non_compliant,start,insufficient,"[0.027, 0.92, 0.746, 0.818]",M3,a_eval -> a_accept,2,Reject,67.0
unstructured_text,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.101, 0.879, 0.92, 0.72]",M3,a_accept,1,Accept_M3,-38.0
structured,remote_id,high-risk,inadequate_SCC,start,insufficient,"[0.191, 0.918, 0.745, 0.736]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.046, 0.708, 0.757, 0.808]",M3,a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_eval -> a_reject -> a_next -> a_eval -> a_accept,10,Reject,39.0
structured,verification,high-risk,adequacy,start,insufficient,"[0.048, 0.794, 0.885, 0.886]",M2,a_accept,1,Accept_M2,19.0
unstructured_text,remote_id,high-risk,non_compliant,start,suboptimal,"[0.06, 0.924, 0.963, 0.803]",M3,a_eval -> a_eval -> a_eval -> a_accept,4,Reject,61.0
unstructured_text,remote_id,high-risk,non_compliant,start,insufficient,"[0.112, 0.708, 0.863, 0.833]",M3,a_eval -> a_eval -> a_eval -> a_accept,4,Accept_M2,10.0
unstructured_text,remote_id,high-risk,inadequate_SCC,start,suboptimal,"[0.112, 0.866, 0.82, 0.807]",M3,a_accept,1,Accept_M3,-38.0
unstructured_text,remote_id,high-risk,adequacy,start,insufficient,"[0.026, 0.721, 0.763, 0.792]",M2,a_accept,1,Accept_M2,19.0
multimodal,remote_id,high-risk,adequacy,start,insufficient,"[0.086, 0.878, 0.744, 0.948]",M2,a_accept,1,Accept_M2,19.0
